text
Very beautiful 1 bedroom and 1 bathroom home located in Nettieberg. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 3 bedroom and 8 bathroom home located in New Kiarrafurt. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 9 bedroom and 10 bathroom home located in Port Ethanfort. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 9 bedroom and 9 bathroom home located in Schaeferbury. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 1 bedroom and 5 bathroom home located in Hilllfort. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 4 bedroom and 2 bathroom home located in Littelport. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 7 bedroom and 1 bathroom home located in West Doraland. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 10 bedroom and 7 bathroom home located in Jasminbury. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 10 bedroom and 2 bathroom home located in Port Kellimouth. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 4 bedroom and 1 bathroom home located in New Maximilian. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
Very beautiful 1 bedroom and 2 bathroom home located in Kathlynborough. The roomy primary bedroom includes an en-suite bath with tile standup shower and walk-in closet. The second bedroom is large with plenty of room for a queen size bed with a dresser and offers two closets. The guest bathroom is just across the hall and includes a deep soaking tub with shower plus a linen closet. An in-unit laundry closet is also accessed off the hallway. A 12ftx14ft basement storage unit is included. Steps from grocery, wine & liquor, fitness, dog park, dry cleaners, pharmacy and the best shops and restaurants this amazing neighborhood has to offer. Easy to show!
